pTron Bassbuds Jade,https://m.media-amazon.com/images/I/51tBu12hIFL._SX679_.jpg,"Touch TSA on the right earbud for 3 seconds to change modes - Game & Music. Note: Music Mode will be On by Default
Gaming Wireless Headphones with Ultra-Low Latency; Hi-Fidelity Stereo Sound quality with Punchy Bass; Massive 40Hrs Total Playtime with the Charging Case; Touch Control Ergonomic Earbuds
BT5.0 with 10 meters Wireless Connectivity; 1-Step Pairing; Quick Connect; Dual HD Mic for Clear Calls; Wide Compatibility with BT Smart Devices",70,624a87ba64b8b8644d37e548,pTron,4.5
AFERELLE ® Premium Blue Ray Cut Lens,https://m.media-amazon.com/images/I/61HWsr1R2wL._UX679_.jpg,"ADVANCED BLUE CUT TECHNOLOGY | The anti glare glasses for men and women are made of multi-layered CR39 blue cut lenses that block out harmful blue light to ease computer eye strain.
STURDY FRAME | Our blue light filtering glasses are built with ultra-durable and lightweight TR90 material. Thus, these blue ray glasses for men and women last long along with providing max comfort.
SUPERIOR SPECTACLES FOR MEN & WOMEN | The blue light glasses reduce digital fatigue from your mobiles, computers etc. as these have been precision engineered for effortless eye care.
",15,624a87ba64b8b8644d37e548,AFERELLE,4
EKSA E800 Gaming Headphone,https://m.media-amazon.com/images/I/71Mehc4sOXS._SX679_.jpg,"Comfortable & Adjustable: Adjustable rotating 15°earmuffs fits for all head ear shapes, super-soft protein foam earmuffs and ergonomically shaped adjustable elastic headband that is more comfortable for long time wear, Bring you a perfect and comfortable listening experience, High-quality leather, Stainless steel metal, brings you plenty of wearing comfort for having hours of gaming fun and listening experience
Advanced 50mm Drivers: Built-in powerful 50mm magnetic neodymium driver captures footsteps and judge the sound direction easier, feel the full force of an explosion, a grenade blast. Perfect for various games like PUBG, FPS, Metal Gear Solid, Call of Duty, Star Wars Battlefront, World of Warcraft Legion, etc.",56,624a87ba64b8b8644d37e548,EKSA,4.2
HP FD236W 32GB USB 2.0,https://m.media-amazon.com/images/I/61aflcZgumL._SX569_.jpg,"Durable metal Charming appearance which brings a great sense of style lectronic plating after printing technic (Anti-fake). Opening Mechanism : Capless. Read Speed : 14. Write Speed : 5,Lidless, compact design with integrated strap-hole, For Desktop Computer, Television, Laptop, Temperature Proof, Shock-Proof, and vibration-proof, Manufacturer Detail: Fortune marketing Pvt Ltd F24/4 -Okhla Industrial Area Phase -II New Delhi 110020acker Detail: Fortune marketing Pvt Ltd F24/4 -Okhla Industrial Area Phase -II New Delhi 110020",25,6274ab86698ac711e58dbb5b,HP,4.4
Logitech B170 Wireless Mouse,https://m.media-amazon.com/images/I/51p1FOjU-lL._SX569_.jpg,"Reliable Wireless Connection : Enjoy a wireless connection up to 10m away thanks to a plug-and-forget USB mini-receiver
Optical Tracking : The advanced optical tracking features enable ultra precise moves on almost any surface. Required: available USB port, Windows 7, 8, 10 or later, macOS 10.5 or later, Chrome OS, Linux Kernel 2.6+ , 12-Month Battery Life : Don’t worry about constant battery changes as this wired Logitech mouse has a 12-month battery life.",26,6274ab86698ac711e58dbb5b,Logitech,4.5
TP-Link Archer AC1200,https://m.media-amazon.com/images/I/51ax8peHlPL._SX569_.jpg,"AC1200 Dual-Band Wi-Fi —— 867 Mbps at 5 GHz and 300 Mbps at 2.4 GHz band
MU-MIMO Technology —— Simultaneously transfers data to multiple devices for 2× faster performance
Boosted Coverage —— Four external antennas equipped with Beamforming technology extend and concentrate the Wi-Fi signals
Access Point Mode —— Supports AP Mode to transform your wired connection into wireless network
Easy Setup —— Set up your Wi-Fi in minutes with TP-Link Tether app.
Processor —— Dual-Core CPU
Interface —— 1× Gigabit WAN Port and 4× Gigabit LAN Ports
Worry-free customer support —— For installation related query, compatibility issue or any other general queries call on toll free no 1800 2094 168 or write us at support.in@tp-link.com",50,6274ab86698ac711e58dbb5b,TP-Link,4.1
Apple iPhone 13 (128GB) - Midnight,https://m.media-amazon.com/images/I/61VuVU94RnL._SX679_.jpg,"15 cm (6.1-inch) Super Retina XDR display
Cinematic mode adds shallow depth of field and shifts focus automatically in your videos
Advanced dual-camera system with 12MP Wide and Ultra Wide cameras; Photographic Styles, Smart HDR 4, Night mode, 4K Dolby Vision HDR recording
12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording
A15 Bionic chip for lightning-fast performance
Up to 19 hours of video playback
Durable design with Ceramic Shield
Industry-leading IP68 water resistance
iOS 15 packs new features to do more with iPhone than ever before
Supports MagSafe accessories for easy attachment and faster wireless charging",550,6274ab86698ac711e58dbb5b,Apple,4.9
Apple iPhone 13 Pro (128 GB) - Green,https://m.media-amazon.com/images/I/61AwGDDZd3L._SX679_.jpg,"15 cm (6.1-inch) Super Retina XDR display with ProMotion for a faster, more responsive feel
Cinematic mode adds shallow depth of field and shifts focus automatically in your videos
Pro camera system with new 12MP Telephoto, Wide and Ultra Wide cameras; LiDAR Scanner; 6x optical zoom range; macro photography; Photographic Styles, ProRes video, Smart HDR 4, Night mode, Apple ProRAW, 4K Dolby Vision HDR recording
12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording
A15 Bionic chip for lightning-fast performance
Up to 22 hours of video playback
Durable design with Ceramic Shield",850,6274ab86698ac711e58dbb5b,Apple,4.9
Amkette Evo Gamepad Pro 4,https://m.media-amazon.com/images/I/71Sy+ubvStL._SX679_.jpg,"EGP4 is a great Smartphone Bluetooth Game Controller with 2 Modes - a Native mode that lets you play Gamepad supported games on ALL Android Phones, and an Instant Play Mode for Android Phones that enables gamepad support for Games that don’t natively support it. Instant Play for Android (Home + A) lets you map your Gamepads buttons, to the touchscreen, enabling you to play your favourite Games like BGMI, COD, LOL, NFS and more! Requires the use of a 3rd party app. With the HID/Native Mode for Android (Home + X), discover and play over 300 games that already support a Gamepad, like Asphalt, Mine Craft, GTA and more). The Evo Gamepad Pro 4 Bluetooth Gamepad comes with the Evo Gamepad App found on Android Play Store.",200,6274ab86698ac711e58dbb5b,EGP,3.9
HEROZ Hammer Unisex Nylon 45 L,https://m.media-amazon.com/images/I/71JH9vzk+lL._SX569_.jpg,"Has a carrying capacity of 45 litres, and dimensions of 53 x 33 x 29 centimeters. Weighing at 989 gms, the bag is made out of durable PU coated polyester fabric and double dotted waterproof polyester for protection of all manner. The blue color with grey undertones gives a neutral look and an advantage over excess dust collection. 2 main and an extra compartment provides ample storage space for accessories, electronics, notebooks and stationery. Also comes with bottle mesh pockets on either sides.",150,6274ab86698ac711e58dbb5b,HEROZ,4.4
